,Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Actual Result Iteration 1,Status Iteration 1,Actual Result Iteration 2,Status Iteration 2,Comments,Reference
,TC001,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 17",Invalid Age,,,,,,
,TC002,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 18",Proceed,,,,,,
,TC003,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 19",Proceed,,,,,,
,TC004,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 20",Proceed,,,,,,
,TC005,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 50",Proceed,,,,,,
,TC006,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 97",Proceed,,,,,,
,TC007,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 98",Proceed,,,,,,
,TC008,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 99",Proceed,,,,,,
,TC009,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 100",Invalid Age,,,,,,
,TC010,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: 0",Invalid Age,,,,,,
,TC011,Person Age,Registration page should be available,Verify Person Age,"1. Open The Browser
2. Navigate to the URL
3. Click on Register
4. Enter the Age
5. Click on Submit button","Browser: Chrome, Age: -1",Invalid Age,,,,,,
,TC012,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: -1,Invalid Marks,,,,,,
,TC013,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 0,Fail,,,,,,
,TC014,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 1,Fail,,,,,,
,TC015,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 58,Fail,,,,,,
,TC016,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 59,Fail,,,,,,
,TC017,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 60,Pass,,,,,,
,TC018,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 61,Pass,,,,,,
,TC019,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 75,Pass,,,,,,
,TC020,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 99,Pass,,,,,,
,TC021,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 100,Pass,,,,,,
,TC022,Exam Marks,Exam portal available,Verify Exam result,"1. Open Browser
2. Open Examination Portal
3. Enter Marks
4. Click Calculate Result",Marks: 101,Invalid Marks,,,,,,
